Filtered X: -8.380 | Filtered Y: -15.087 || Velocity X: -109.019 | Velocity Y: -11.847
normal X: -7.492 | normal Y: -14.650 || Velocity X: -86.501 | Velocity Y: 3.930
Filtered X: -9.468 | Filtered Y: -14.753 || Velocity X: -76.684 | Velocity Y: 5.056
normal X: -8.069 | normal Y: -14.021 || Velocity X: -28.833 | Velocity Y: 31.449
Filtered X: -9.716 | Filtered Y: -13.720 || Velocity X: -38.619 | Velocity Y: 32.625
normal X: -8.069 | normal Y: -12.527 || Velocity X: 0.000 | Velocity Y: 74.689
Filtered X: -10.355 | Filtered Y: -12.383 || Velocity X: -34.662 | Velocity Y: 52.904
normal X: -10.183 | normal Y: -11.505 || Velocity X: -105.723 | Velocity Y: 51.103
Filtered X: -11.090 | Filtered Y: -11.542 || Velocity X: -35.916 | Velocity Y: 46.477
normal X: -11.145 | normal Y: -11.820 || Velocity X: -48.056 | Velocity Y: -15.723
Filtered X: -11.560 | Filtered Y: -10.383 || Velocity X: -28.545 | Velocity Y: 53.253
normal X: -11.241 | normal Y: -10.090 || Velocity X: -4.806 | Velocity Y: 86.483
Filtered X: -11.951 | Filtered Y: -9.071 || Velocity X: -23.233 | Velocity Y: 60.582
normal X: -11.721 | normal Y: -8.754 || Velocity X: -24.028 | Velocity Y: 66.827
Filtered X: -11.816 | Filtered Y: -7.665 || Velocity X: -5.486 | Velocity Y: 66.319
normal X: -11.048 | normal Y: -7.417 || Velocity X: 33.638 | Velocity Y: 66.828
Filtered X: -11.541 | Filtered Y: -6.226 || Velocity X: 5.905 | Velocity Y: 69.673
normal X: -11.048 | normal Y: -6.081 || Velocity X: 0.000 | Velocity Y: 66.827
Filtered X: -11.090 | Filtered Y: -4.863 || Velocity X: 15.759 | Velocity Y: 68.777
normal X: -10.664 | normal Y: -4.901 || Velocity X: 19.223 | Velocity Y: 58.966
Filtered X: -10.516 | Filtered Y: -3.556 || Velocity X: 23.439 | Velocity Y: 66.747
normal X: -10.183 | normal Y: -3.643 || Velocity X: 24.028 | Velocity Y: 62.896
Filtered X: -9.222 | Filtered Y: -1.569 || Velocity X: 47.866 | Velocity Y: 86.038
normal X: -8.165 | normal Y: -0.734 || Velocity X: 100.917 | Velocity Y: 145.449
Filtered X: -7.968 | Filtered Y: 0.108 || Velocity X: 56.643 | Velocity Y: 84.741
